name,team,age,weight_lbs,position,country,weight_kg,height_feet,height_meter,height_to_weight
Justus Annunen,FINLAND,19,207,Goaltender,fi,93.893544,6.333333333333333,1.9304000000000001,0.02055945401315345
Jasper Patrikainen,FINLAND,19,174,Goaltender,fi,78.925008,6.083333333333333,1.8542,0.023493187355774485
Kari Piiroinen,FINLAND,18,176,Goaltender,fi,79.83219199999999,6.083333333333333,1.8542,0.023226219317640687
Santeri Hatakka,FINLAND,18,174,Defence,fi,78.925008,6,1.8288000000000002,0.023171362871448806
Ville Heinola,FINLAND,18,181,Defence,fi,82.100152,5.916666666666667,1.8034000000000001,0.02196585458209627
Anttoni Honka,FINLAND,19,179,Defence,fi,81.192968,5.833333333333333,1.778,0.021898448151322664
Mikko Kokkonen,FINLAND,18,198,Defence,fi,89.811216,5.916666666666667,1.8034000000000001,0.020079897370502146
Kim Nousiainen,FINLAND,19,170,Defence,fi,77.11064,5.75,1.7526000000000002,0.022728380934200522
Peetro Seppala,FINLAND,19,187,Defence,fi,84.821704,6.083333333333333,1.8542,0.02185997112248535
Lassi Thomson,FINLAND,19,190,Defence,fi,86.18248,6,1.8288000000000002,0.021220090208589962
Toni Utunen,FINLAND,19,172,Defence,fi,78.017824,5.916666666666667,1.8034000000000001,0.02311523069395014
Eemil Erholtz,FINLAND,19,168,Forward,fi,76.203456,5.916666666666667,1.8034000000000001,0.023665593329520382
Lenni Killinen,FINLAND,19,181,Forward,fi,82.100152,6.166666666666667,1.8796000000000002,0.022893989282748224
Rasmus Kupari,FINLAND,19,185,Forward,fi,83.91452,6.083333333333333,1.8542,0.022096295134620327
Matias Maccelli,FINLAND,19,165,Forward,fi,74.84268,5.916666666666667,1.8034000000000001,0.024095876844602574
Joonas Oden,FINLAND,19,183,Forward,fi,83.007336,6,1.8288000000000002,0.0220317876482628
Mikko Petman,FINLAND,18,198,Forward,fi,89.811216,6,1.8288000000000002,0.02036271282642471
Patrik Puistola,FINLAND,18,165,Forward,fi,74.84268,6,1.8288000000000002,0.024435255391709654
Sampo Ranta,FINLAND,19,190,Forward,fi,86.18248,6.166666666666667,1.8796000000000002,0.021809537158828572
Aatu Raty,FINLAND,17,181,Forward,fi,82.100152,6.083333333333333,1.8542,0.022584611049197574
Aku Raty,FINLAND,18,170,Forward,fi,77.11064,6,1.8288000000000002,0.023716571409600543
Antti Saarela,FINLAND,18,183,Forward,fi,83.007336,5.916666666666667,1.8034000000000001,0.021725790597592484
Kristian Tanus,FINLAND,19,159,Forward,fi,72.121128,5.666666666666667,1.7272,0.023948599361895726
Roman Kalmykov,KAZAKHSTAN,18,181,Goaltender,kz,82.100152,5.75,1.7526000000000002,0.021347098114994967
Vladislav Nurek,KAZAKHSTAN,19,159,Goaltender,kz,72.121128,6,1.8288000000000002,0.025357340500830772
Maxim Pavlenko,KAZAKHSTAN,17,181,Goaltender,kz,82.100152,6.416666666666667,1.9558000000000002,0.02382212398340018
Danil Butenko,KAZAKHSTAN,18,159,Defence,kz,72.121128,5.916666666666667,1.8034000000000001,0.02500515521609701
Madi Dikhanbek,KAZAKHSTAN,18,157,Defence,kz,71.213944,5.833333333333333,1.778,0.0249670205037373
Rustem Dzhumagulov,KAZAKHSTAN,18,163,Defence,kz,73.935496,6,1.8288000000000002,0.02473507447627051
